msg_par;level;msg_text
-1;IMPORTANT;ошибка инициализации канала связи
-2;IMPORTANT;ошибка записи в канал связи
-3;IMPORTANT;ошибка чтения из канала связи
-4;IMPORTANT;ошибка конфигурирования канала связи
-5;IMPORTANT;ошибка протокола канала связи
-6;IMPORTANT;ошибка состояния канала связи
-11;IMPORTANT;общая ошибка связи с внешним устройством
-12;IMPORTANT;ошибка отправки команды внешнему устройству
-13;IMPORTANT;ошибка разбора ответа внешнего устройства
-14;IMPORTANT;ошибка выполнения команды внешним устройством
-15;IMPORTANT;ошибка получения данных от внешнего устройства
-16;IMPORTANT;ошибка разбора оповещения от внешнего устройства
-17;IMPORTANT;ошибка протокола связи с внешним устройством
-18;IMPORTANT;ошибка состояния внешнего устройства
-21;IMPORTANT;ошибка при открытии файла
-22;IMPORTANT;ошибка при создании файла
-23;IMPORTANT;файл не существует
-24;IMPORTANT;ошибка при копировании файла
-25;IMPORTANT;ошибка при переносе файла
-26;IMPORTANT;ошибка при удалении файла
-27;IMPORTANT;файл не является исполняемым
-28;IMPORTANT;ошибка записи в файл
-29;IMPORTANT;ошибка чтения из файла
-31;IMPORTANT;ошибка при открытии директории
-32;IMPORTANT;ошибка при создании директории
-33;IMPORTANT;директория не существует
-34;IMPORTANT;ошибка при копировании директории
-35;IMPORTANT;ошибка при переносе директории
-36;IMPORTANT;ошибка при удалении директории
-41;IMPORTANT;неизвестная точка в конфигурации
-42;IMPORTANT;ошибка при инициализации точки
-43;IMPORTANT;ошибка при запуске точки
-44;IMPORTANT;вызов transport_loop вернул ошибку с указанным кодом
-45;IMPORTANT;ошибка инициализации пула потоков
-46;IMPORTANT;ошибка при завершении работы точки
-47;IMPORTANT;ошибка при регистрации обработчика поступающих сообщений
-51;IMPORTANT;ошибка при инициализации библиотеки
-52;IMPORTANT;ошибка при загрузке библиотеки
-61;IMPORTANT;не удалось создать неименованный канал
-62;IMPORTANT;вызов fork() вернул ошибку с указанным кодом
-63;IMPORTANT;вызов select() вернул ошибку с указанным кодом
-71;IMPORTANT;ошибка при загрузке конфигурации модуля
-72;IMPORTANT;запрошенная нода отсутствует в конфигурационном файле модуля
-73;IMPORTANT;запрошенная нода имеет некорректный формат представления
-74;IMPORTANT;не удалось выполнить обновление конфигурации модуля
-75;IMPORTANT;не удалось создать резервную копию текущей конфигурации модуля
-76;IMPORTANT;не удалось выполнить восстановление конфигурации модуля
-81;IMPORTANT;недостаточный размер буфера
-82;IMPORTANT;неизвестный флаг
-83;IMPORTANT;ошибка выделения памяти
-84;IMPORTANT;некорректный указатель
-85;IMPORTANT;общая ошибка пакета данных
-101;IMPORTANT;ошибка извлечения данных из пакета
-102;IMPORTANT;ошибка при создании нового пакета данных
-103;IMPORTANT;ошибка при отправке пакета данных
-104;IMPORTANT;ошибка при добавлении данных в пакет
-105;IMPORTANT;ошибка при попытке повторного использования пакета данных
-106;IMPORTANT;ошибка при создании пакета для передачи данных большого объема
-107;IMPORTANT;ошибка при сохранении пакета в очередь
-108;IMPORTANT;ошибка: функции ответа на запрос передан некорректный аргумент
-109;IMPORTANT;ошибка: истекло время ожидания пакета данных
-111;NOTIFY;ошибка авторизации
-112;NOTIFY;ошибка входных данных
-113;NOTIFY;ошибка записи в БД
