msg_par;level;msg_text
-201;NOTIFY;файл статистики некорректный
-211;NOTIFY;некорректная директория stat
-212;NOTIFY;некорректное конфигурирование запускаемых модулей
-221;NOTIFY;ошибка в аргументах команды
-222;NOTIFY;ошибка в идентификаторе команды
-223;NOTIFY;не указан код команды
-224;NOTIFY;неизвестная команда
-225;NOTIFY;скрипт не существует или не является исполняемым
-226;NOTIFY;запрошенная команда выполняется, но не может быть остановлена
-227;NOTIFY;запрошенная команда не выполняется
-228;NOTIFY;ошибка в флагах команды
-231;NOTIFY;не удалось отправить сообщение PING
-232;NOTIFY;нет ответа на сообщение PING
-241;NOTIFY;не удалось добавить новое задание (нет свободных слотов в таблице заданий)
-242;NOTIFY;не удалось добавить новый модуль на выполнение (нет свободных слотов в таблице модулей)
-243;NOTIFY;ошибка при попытке загрузить скрипт на выполнение в дочерний процесс
-244;NOTIFY;общая ошибка при создании нового задания для скриптовой команды
-251;NOTIFY;некорректная запись в таблице
-252;NOTIFY;пустая строка в таблице
