msg_par;level;msg_text
200;NOTIFY;успех
201;NOTIFY;сигнал о необходимости перечитать конфигурацию отправлен всем модулям
202;NOTIFY;сигнал о необходимости перечитать конфигурацию отправлен указанному модулю
203;NOTIFY;сигнал о необходимости перечитать конфигурацию не может быть отправлен указанному модулю, так как он остановлен
204;NOTIFY;получен сигнал о необходимости перечитать конфигурацию
205;NOTIFY;резервная копия текущей конфигурации успешно создана
206;NOTIFY;конфигурация успешно восстановлена из резервной копии
207;NOTIFY;обновление конфигурации из указанного архива выполнено успешно
211;NOTIFY;новое задание успешно добавлено
212;NOTIFY;успешное прерывание выполнения команды
213;NOTIFY;команда запущена и выполняется
214;NOTIFY;команда не выполняется
221;NOTIFY;модуль успешно запущен
222;NOTIFY;модуль уже запущен (уже выполняется)
223;NOTIFY;модуль успешно остановлен
224;NOTIFY;модуль уже остановлен (уже не выполняется)
225;NOTIFY;модуль успешно перезапущен
226;NOTIFY;модуль успешно создан
227;NOTIFY;модуль уже создан (присутствует в таблице модулей)
228;NOTIFY;модуль успешно удален
229;NOTIFY;модуль уже удален (отсутствует в таблице модулей)
230;NOTIFY;неизвестная группа
231;NOTIFY;неизвестный модуль
232;NOTIFY;таблица модулей пуста
